locus_tag	kegg_pathway_id	kegg_pathway
SPy_1140	spy00240	Pyrimidine metabolism
SPy_1230	spy00240	Pyrimidine metabolism
SPy_1368	spy00240	Pyrimidine metabolism
SPy_1375	spy00240	Pyrimidine metabolism
SPy_1378	spy00240	Pyrimidine metabolism
SPy_1432	spy00240	Pyrimidine metabolism
SPy_1823	spy00240	Pyrimidine metabolism
SPy_1869	spy00240	Pyrimidine metabolism
SPy_1894	spy00240	Pyrimidine metabolism
SPy_2110	spy00240	Pyrimidine metabolism
SPy_0026	spy00250	Alanine, aspartate and glutamate metabolism
SPy_0036	spy00250	Alanine, aspartate and glutamate metabolism
SPy_0160	spy00250	Alanine, aspartate and glutamate metabolism
SPy_0650	spy00250	Alanine, aspartate and glutamate metabolism
SPy_0832	spy00250	Alanine, aspartate and glutamate metabolism
SPy_0833	spy00250	Alanine, aspartate and glutamate metabolism
SPy_0835	spy00250	Alanine, aspartate and glutamate metabolism
SPy_1067	spy00250	Alanine, aspartate and glutamate metabolism
SPy_1280	spy00250	Alanine, aspartate and glutamate metabolism
SPy_1539	spy00250	Alanine, aspartate and glutamate metabolism
SPy_1779	spy00250	Alanine, aspartate and glutamate metabolism
SPy_1782	spy00250	Alanine, aspartate and glutamate metabolism
SPy_1877	spy00250	Alanine, aspartate and glutamate metabolism
SPy_1031	spy00260	Glycine, serine and threonine metabolism
SPy_1145	spy00260	Glycine, serine and threonine metabolism
SPy_1429	spy00260	Glycine, serine and threonine metabolism
SPy_1903	spy00260	Glycine, serine and threonine metabolism
SPy_2189	spy00260	Glycine, serine and threonine metabolism
SPy_2190	spy00260	Glycine, serine and threonine metabolism
SPy_0172	spy00270	Cysteine and methionine metabolism
SPy_0447	spy00270	Cysteine and methionine metabolism
SPy_0538	spy00270	Cysteine and methionine metabolism
SPy_0911	spy00270	Cysteine and methionine metabolism
SPy_1077	spy00270	Cysteine and methionine metabolism
SPy_1151	spy00270	Cysteine and methionine metabolism
SPy_1359	spy00270	Cysteine and methionine metabolism
SPy_1365	spy00270	Cysteine and methionine metabolism
SPy_1618	spy00270	Cysteine and methionine metabolism
SPy_1642	spy00270	Cysteine and methionine metabolism
SPy_1944	spy00270	Cysteine and methionine metabolism
SPy_2189	spy00270	Cysteine and methionine metabolism
SPy_2190	spy00270	Cysteine and methionine metabolism
SPy_0140	spy00280	Valine, leucine and isoleucine degradation
SPy_0524	spy00280	Valine, leucine and isoleucine degradation
SPy_0881	spy00280	Valine, leucine and isoleucine degradation
SPy_0911	spy00280	Valine, leucine and isoleucine degradation
SPy_1031	spy00280	Valine, leucine and isoleucine degradation
SPy_1637	spy00280	Valine, leucine and isoleucine degradation
SPy_0911	spy00290	Valine, leucine and isoleucine biosynthesis
SPy_1779	spy00290	Valine, leucine and isoleucine biosynthesis
SPy_0140	spy00310	Lysine degradation
SPy_0141	spy00310	Lysine degradation
SPy_0142	spy00310	Lysine degradation
SPy_0524	spy00310	Lysine degradation
SPy_1031	spy00310	Lysine degradation
SPy_1067	spy00310	Lysine degradation
SPy_1637	spy00310	Lysine degradation
SPy_1638	spy00310	Lysine degradation
SPy_1639	spy00310	Lysine degradation
SPy_0112	spy00330	Arginine and proline metabolism
SPy_0902	spy00330	Arginine and proline metabolism
SPy_1670	spy00330	Arginine and proline metabolism
SPy_1672	spy00330	Arginine and proline metabolism
SPy_1670	spy00332	Carbapenem biosynthesis
SPy_1672	spy00332	Carbapenem biosynthesis
SPy_2081	spy00340	Histidine metabolism
SPy_2082	spy00340	Histidine metabolism
SPy_2083	spy00340	Histidine metabolism
SPy_2089	spy00340	Histidine metabolism
SPy_2090	spy00340	Histidine metabolism
SPy_0044	spy00350	Tyrosine metabolism
SPy_1067	spy00350	Tyrosine metabolism
SPy_0140	spy00362	Benzoate degradation
SPy_0524	spy00362	Benzoate degradation
SPy_1139	spy00362	Benzoate degradation
SPy_1176	spy00362	Benzoate degradation
SPy_1177	spy00362	Benzoate degradation
SPy_1183	spy00362	Benzoate degradation
SPy_1184	spy00362	Benzoate degradation
SPy_1637	spy00362	Benzoate degradation
SPy_2103	spy00362	Benzoate degradation
SPy_0140	spy00380	Tryptophan metabolism
SPy_0524	spy00380	Tryptophan metabolism
SPy_0902	spy00380	Tryptophan metabolism
SPy_1031	spy00380	Tryptophan metabolism
SPy_1637	spy00380	Tryptophan metabolism
SPy_0534	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_0722	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_0809	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_0810	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_1351	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_1352	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_1576	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_1577	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_1991	spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis
SPy_0109	spy00430	Taurine and hypotaurine metabolism
SPy_1128	spy00430	Taurine and hypotaurine metabolism
SPy_0172	spy00450	Selenocompound metabolism
SPy_0288	spy00450	Selenocompound metabolism
SPy_0422	spy00450	Selenocompound metabolism
SPy_1145	spy00460	Cyanoamino acid metabolism
SPy_1539	spy00460	Cyanoamino acid metabolism
SPy_1599	spy00460	Cyanoamino acid metabolism
SPy_1782	spy00460	Cyanoamino acid metabolism
SPy_0361	spy00470	D-Amino acid metabolism
SPy_1310	spy00470	D-Amino acid metabolism
SPy_1312	spy00470	D-Amino acid metabolism
SPy_1421	spy00470	D-Amino acid metabolism
SPy_1525	spy00470	D-Amino acid metabolism
SPy_1802	spy00470	D-Amino acid metabolism
SPy_0605	spy00480	Glutathione metabolism
SPy_0813	spy00480	Glutathione metabolism
SPy_0917	spy00480	Glutathione metabolism
SPy_1239	spy00480	Glutathione metabolism
SPy_0215	spy00500	Starch and sucrose metabolism
SPy_0224	spy00500	Starch and sucrose metabolism
SPy_0574	spy00500	Starch and sucrose metabolism
SPy_1224	spy00500	Starch and sucrose metabolism
SPy_1291	spy00500	Starch and sucrose metabolism
